SaleID,CustomerID,ProductID,Quantity,SaleDate,FeedbackScore
1,75,37,3.0,2023-09-18 12:00:00,4.0
2,398,48,2.0,2023-07-15 04:00:00,5.0
3,791,19,3.0,2023-03-14 03:00:00,2.0
4,690,44,3.0,2023-07-17 14:00:00,5.0
5,628,21,3.0,2023-07-08 09:00:00,4.0
6,41,39,1.0,2023-09-22 04:00:00,5.0
7,725,44,3.0,2023-01-25 00:00:00,2.0
8,672,27,2.0,2023-08-05 18:00:00,4.0
9,620,26,1.0,2023-09-23 03:00:00,5.0
10,714,35,3.0,2023-01-19 07:00:00,1.0
11,471,49,1.0,2023-04-25 14:00:00,
12,350,47,3.0,2023-11-08 23:00:00,5.0
13,413,32,-1.0,2023-08-08 16:00:00,
14,701,27,-1.0,2023-08-24 13:00:00,1.0
15,826,49,-1.0,2023-06-16 15:00:00,2.0
16,817,47,,2023-09-09 09:00:00,4.0
17,458,27,1.0,2023-01-25 06:00:00,3.0
18,49,29,,2024-02-18 18:00:00,4.0
19,360,33,2.0,2023-10-21 19:00:00,3.0
20,663,37,1.0,2023-12-06 22:00:00,3.0
21,745,23,,2024-02-17 08:00:00,2.0
22,334,42,2.0,2023-04-04 17:00:00,1.0
23,344,40,-1.0,2023-07-13 08:00:00,4.0
24,823,19,,2024-01-31 05:00:00,4.0
25,141,10,-1.0,2023-07-26 03:00:00,
26,860,7,,2024-02-18 08:00:00,4.0
27,18,27,1.0,2023-03-23 19:00:00,
28,596,32,,2023-12-10 11:00:00,2.0
29,959,23,,2023-10-02 14:00:00,5.0
30,964,18,2.0,2024-01-04 15:00:00,2.0
31,120,7,1.0,2023-01-14 09:00:00,4.0
32,790,2,-1.0,2023-04-22 14:00:00,5.0
33,382,46,-1.0,2023-07-12 17:00:00,2.0
34,667,40,2.0,2023-07-26 05:00:00,4.0
35,346,44,1.0,2023-12-14 00:00:00,4.0
36,189,10,1.0,2023-05-20 01:00:00,2.0
37,283,20,2.0,2023-08-21 21:00:00,5.0
38,453,40,-1.0,2023-01-11 11:00:00,3.0
39,7,27,2.0,2023-06-15 13:00:00,1.0
40,526,22,-1.0,2023-10-04 06:00:00,1.0
41,145,41,2.0,2023-08-20 03:00:00,
42,933,3,-1.0,2023-01-02 11:00:00,1.0
43,282,32,-1.0,2023-12-15 10:00:00,1.0
44,680,22,3.0,2023-03-05 01:00:00,
45,373,17,3.0,2024-01-24 05:00:00,
46,615,18,3.0,2023-01-02 15:00:00,3.0
47,685,13,2.0,2023-07-20 19:00:00,2.0
48,872,50,3.0,2023-05-25 09:00:00,2.0
49,942,23,-1.0,2023-03-15 08:00:00,2.0
50,438,47,2.0,2023-04-07 00:00:00,4.0
51,203,41,,2023-06-05 03:00:00,3.0
52,230,7,3.0,2023-12-12 04:00:00,3.0
53,360,20,1.0,2023-07-28 01:00:00,5.0
54,640,37,1.0,2023-12-05 15:00:00,3.0
